"","Year","ID_School","Total"
"1","1996-1997","AUB",297
"2","1996-1997","BAMA",292
"3","1996-1997","BOS.ST",46
"4","1996-1997","CLEM",328
"5","1996-1997","DUKE",243
"6","1996-1997","FLA",315
"7","1996-1997","FSU",285
"8","1996-1997","GTOWN",135
"9","1996-1997","KAN.ST",218
"10","1996-1997","LOUIS",84
"11","1996-1997","LSU",311
"12","1996-1997","ND",326
"13","1996-1997","NEB",425
"14","1996-1997","NWST",278
"15","1996-1997","OK",317
"16","1996-1997","OKSTATE",253
"17","1996-1997","ORE",252
"18","1996-1997","ORE.ST",313
"19","1996-1997","OSU",443
"20","1996-1997","RUT",402
"21","1996-1997","SCAR",303
"22","1996-1997","SJ.ST",270
"23","1996-1997","SMU",230
"24","1996-1997","STAN",349
"25","1996-1997","TAM",344
"26","1996-1997","UGA",322
"27","1996-1997","UM",384
"28","1996-1997","UNC",429
"29","1996-1997","UOFM",206
"30","1996-1997","USC",244
"31","1996-1997","UT",346
"32","1996-1997","UTA.ST",221
"33","1996-1997","VANDY",232
"34","1997-1998","AUB",301
"35","1997-1998","BAMA",299
"36","1997-1998","BOS.ST",235
"37","1997-1998","CLEM",326
"38","1997-1998","DUKE",251
"39","1997-1998","FLA",341
"40","1997-1998","FSU",280
"41","1997-1998","GTOWN",155
"42","1997-1998","KAN.ST",273
"43","1997-1998","LOUIS",268
"44","1997-1998","LSU",289
"45","1997-1998","ND",326
"46","1997-1998","NEB",415
"47","1997-1998","NWST",290
"48","1997-1998","OK",333
"49","1997-1998","OKSTATE",244
"50","1997-1998","ORE",266
"51","1997-1998","ORE.ST",279
"52","1997-1998","OSU",457
"53","1997-1998","RUT",469
"54","1997-1998","SCAR",285
"55","1997-1998","SJ.ST",259
"56","1997-1998","SMU",235
"57","1997-1998","STAN",364
"58","1997-1998","TAM",365
"59","1997-1998","UGA",308
"60","1997-1998","UM",389
"61","1997-1998","UNC",424
"62","1997-1998","UOFM",170
"63","1997-1998","USC",264
"64","1997-1998","UT",377
"65","1997-1998","UTA.ST",220
"66","1997-1998","VANDY",249
"67","1998-1999","AUB",315
"68","1998-1999","BAMA",297
"69","1998-1999","BOS.ST",56
"70","1998-1999","CLEM",337
"71","1998-1999","DUKE",267
"72","1998-1999","FLA",350
"73","1998-1999","FSU",276
"74","1998-1999","GTOWN",158
"75","1998-1999","KAN.ST",277
"76","1998-1999","LOUIS",291
"77","1998-1999","LSU",303
"78","1998-1999","ND",353
"79","1998-1999","NEB",437
"80","1998-1999","NWST",290
"81","1998-1999","OK",324
"82","1998-1999","OKSTATE",247
"83","1998-1999","ORE",276
"84","1998-1999","ORE.ST",304
"85","1998-1999","OSU",409
"86","1998-1999","SCAR",296
"87","1998-1999","SJ.ST",289
"88","1998-1999","SMU",242
"89","1998-1999","STAN",379
"90","1998-1999","TAM",356
"91","1998-1999","UGA",302
"92","1998-1999","UM",418
"93","1998-1999","UNC",412
"94","1998-1999","UOFM",178
"95","1998-1999","USC",286
"96","1998-1999","UT",398
"97","1998-1999","UTA.ST",229
"98","1998-1999","VANDY",239
"99","1999-2000","AUB",344
"100","1999-2000","BAMA",303
"101","1999-2000","BOS.ST",273
"102","1999-2000","CLEM",344
"103","1999-2000","DUKE",273
"104","1999-2000","FLA",358
"105","1999-2000","FSU",285
"106","1999-2000","GTOWN",163
"107","1999-2000","KAN.ST",258
"108","1999-2000","LOUIS",331
"109","1999-2000","LSU",319
"110","1999-2000","ND",361
"111","1999-2000","NEB",425
"112","1999-2000","NWST",292
"113","1999-2000","OK",343
"114","1999-2000","OKSTATE",377
"115","1999-2000","ORE",261
"116","1999-2000","ORE.ST",334
"117","1999-2000","OSU",504
"118","1999-2000","RUT",452
"119","1999-2000","SCAR",304
"120","1999-2000","SJ.ST",274
"121","1999-2000","SMU",232
"122","1999-2000","STAN",391
"123","1999-2000","TAM",367
"124","1999-2000","UGA",311
"125","1999-2000","UM",426
"126","1999-2000","UNC",400
"127","1999-2000","UOFM",215
"128","1999-2000","USC",291
"129","1999-2000","UT",433
"130","1999-2000","UTA.ST",232
"131","1999-2000","VANDY",232
"132","2000-2001","AUB",322
"133","2000-2001","BAMA",316
"134","2000-2001","BOS.ST",260
"135","2000-2001","CLEM",90
"136","2000-2001","DUKE",309
"137","2000-2001","FLA",322
"138","2000-2001","FSU",349
"139","2000-2001","GTOWN",180
"140","2000-2001","KAN.ST",215
"141","2000-2001","LOUIS",350
"142","2000-2001","LSU",335
"143","2000-2001","ND",360
"144","2000-2001","NEB",401
"145","2000-2001","NWST",71
"146","2000-2001","OK",350
"147","2000-2001","OKSTATE",334
"148","2000-2001","ORE",257
"149","2000-2001","ORE.ST",306
"150","2000-2001","OSU",529
"151","2000-2001","RUT",486
"152","2000-2001","SCAR",325
"153","2000-2001","SJ.ST",259
"154","2000-2001","SMU",261
"155","2000-2001","STAN",429
"156","2000-2001","TAM",395
"157","2000-2001","UGA",337
"158","2000-2001","UM",427
"159","2000-2001","UNC",425
"160","2000-2001","UOFM",229
"161","2000-2001","USC",319
"162","2000-2001","UT",435
"163","2000-2001","UTA.ST",225
"164","2000-2001","VANDY",241
"165","2001-2002","AUB",360
"166","2001-2002","BAMA",342
"167","2001-2002","BOS.ST",267
"168","2001-2002","CLEM",87
"169","2001-2002","DUKE",313
"170","2001-2002","FLA",357
"171","2001-2002","FSU",351
"172","2001-2002","GTOWN",215
"173","2001-2002","KAN.ST",321
"174","2001-2002","LOUIS",322
"175","2001-2002","LSU",343
"176","2001-2002","ND",392
"177","2001-2002","NEB",466
"178","2001-2002","NWST",337
"179","2001-2002","OK",309
"180","2001-2002","OKSTATE",324
"181","2001-2002","ORE",264
"182","2001-2002","ORE.ST",313
"183","2001-2002","OSU",566
"184","2001-2002","RUT",469
"185","2001-2002","SCAR",320
"186","2001-2002","SJ.ST",272
"187","2001-2002","SMU",290
"188","2001-2002","STAN",411
"189","2001-2002","TAM",423
"190","2001-2002","UGA",350
"191","2001-2002","UM",476
"192","2001-2002","UNC",445
"193","2001-2002","UOFM",254
"194","2001-2002","USC",47
"195","2001-2002","UT",434
"196","2001-2002","UTA.ST",220
"197","2001-2002","VANDY",246
"198","2002-2003","AUB",367
"199","2002-2003","BAMA",336
"200","2002-2003","BOS.ST",317
"201","2002-2003","CLEM",397
"202","2002-2003","DUKE",357
"203","2002-2003","FLA",392
"204","2002-2003","FSU",367
"205","2002-2003","GTOWN",236
"206","2002-2003","KAN.ST",373
"207","2002-2003","LOUIS",344
"208","2002-2003","LSU",311
"209","2002-2003","ND",402
"210","2002-2003","NEB",432
"211","2002-2003","NWST",350
"212","2002-2003","OK",366
"213","2002-2003","OKSTATE",324
"214","2002-2003","ORE",284
"215","2002-2003","ORE.ST",308
"216","2002-2003","OSU",599
"217","2002-2003","RUT",471
"218","2002-2003","SCAR",333
"219","2002-2003","SJ.ST",286
"220","2002-2003","SMU",288
"221","2002-2003","STAN",414
"222","2002-2003","TAM",457
"223","2002-2003","UGA",350
"224","2002-2003","UM",471
"225","2002-2003","UNC",442
"226","2002-2003","UOFM",239
"227","2002-2003","USC",319
"228","2002-2003","UT",440
"229","2002-2003","UTA.ST",238
"230","2002-2003","VANDY",229
"231","2003-2004","AUB",361
"232","2003-2004","BAMA",345
"233","2003-2004","BOS.ST",259
"234","2003-2004","CLEM",396
"235","2003-2004","DUKE",312
"236","2003-2004","FLA",469
"237","2003-2004","FSU",326
"238","2003-2004","GTOWN",247
"239","2003-2004","KAN.ST",376
"240","2003-2004","LOUIS",354
"241","2003-2004","LSU",341
"242","2003-2004","ND",420
"243","2003-2004","NEB",429
"244","2003-2004","NWST",349
"245","2003-2004","OK",359
"246","2003-2004","OKSTATE",279
"247","2003-2004","ORE",265
"248","2003-2004","ORE.ST",228
"249","2003-2004","OSU",592
"250","2003-2004","RUT",464
"251","2003-2004","SCAR",364
"252","2003-2004","SJ.ST",292
"253","2003-2004","SMU",283
"254","2003-2004","STAN",425
"255","2003-2004","TAM",436
"256","2003-2004","UGA",304
"257","2003-2004","UM",466
"258","2003-2004","UNC",445
"259","2003-2004","UOFM",235
"260","2003-2004","USC",365
"261","2003-2004","UT",419
"262","2003-2004","UTA.ST",247
"263","2003-2004","VANDY",234
"264","2004-2005","AUB",368
"265","2004-2005","BAMA",343
"266","2004-2005","BOS.ST",261
"267","2004-2005","CLEM",409
"268","2004-2005","DUKE",303
"269","2004-2005","FLA",416
"270","2004-2005","FSU",338
"271","2004-2005","GTOWN",39
"272","2004-2005","KAN.ST",394
"273","2004-2005","LOUIS",363
"274","2004-2005","LSU",352
"275","2004-2005","ND",424
"276","2004-2005","NEB",414
"277","2004-2005","NWST",461
"278","2004-2005","OK",380
"279","2004-2005","OKSTATE",313
"280","2004-2005","ORE",293
"281","2004-2005","ORE.ST",177
"282","2004-2005","OSU",589
"283","2004-2005","RUT",464
"284","2004-2005","SCAR",386
"285","2004-2005","SJ.ST",322
"286","2004-2005","SMU",55
"287","2004-2005","STAN",421
"288","2004-2005","TAM",465
"289","2004-2005","UGA",373
"290","2004-2005","UM",471
"291","2004-2005","UNC",447
"292","2004-2005","UOFM",249
"293","2004-2005","USC",357
"294","2004-2005","UT",402
"295","2004-2005","UTA.ST",240
"296","2004-2005","VANDY",238
"297","2005-2006","AUB",375
"298","2005-2006","BAMA",354
"299","2005-2006","BOS.ST",289
"300","2005-2006","CLEM",77
"301","2005-2006","DUKE",311
"302","2005-2006","FLA",419
"303","2005-2006","FSU",346
"304","2005-2006","GTOWN",271
"305","2005-2006","KAN.ST",390
"306","2005-2006","LOUIS",369
"307","2005-2006","LSU",340
"308","2005-2006","ND",419
"309","2005-2006","NEB",413
"310","2005-2006","NWST",362
"311","2005-2006","OK",359
"312","2005-2006","OKSTATE",73
"313","2005-2006","ORE",282
"314","2005-2006","ORE.ST",123
"315","2005-2006","OSU",605
"316","2005-2006","RUT",457
"317","2005-2006","SCAR",366
"318","2005-2006","SJ.ST",309
"319","2005-2006","SMU",41
"320","2005-2006","STAN",643
"321","2005-2006","TAM",455
"322","2005-2006","UGA",367
"323","2005-2006","UM",481
"324","2005-2006","UNC",478
"325","2005-2006","UOFM",255
"326","2005-2006","USC",363
"327","2005-2006","UT",396
"328","2005-2006","UTA.ST",218
"329","2005-2006","VANDY",238
