"","State","City","ID_Race","freq"
"185","TX","Houston","AA",16
"123","OK","Tulsa","AA",8
"237","TX","Tyler","AA",7
"108","OK","Oklahoma City","AA",6
"144","TX","Arlington","AA",6
"164","TX","Dallas","AA",6
"81","OK","Edmond","C",5
"124","OK","Tulsa","C",5
"83","OK","Enid","C",4
"168","TX","DeSoto","AA",4
"23","GA","Columbus","AA",3
"78","OK","Claremore","C",3
"80","OK","Edmond","AA",3
"92","OK","Jenks","C",3
"104","OK","Muskogee","C",3
"105","OK","Mustang","C",3
"109","OK","Oklahoma City","C",3
"122","OK","Tonkawa","C",3
"125","OK","Tuttle","C",3
"157","TX","Celina","C",3
"167","TX","Denton","C",3
"169","TX","Duncanville","AA",3
"179","TX","Garland","AA",3
"216","TX","Plano","C",3
"217","TX","Port Arthur","AA",3
"231","TX","Sugar Land","C",3
"13","CA","Los Angeles","AA",2
"17","FL","Cape Coral","C",2
"46","KS","Wichita","AA",2
"57","MS","Collins","AA",2
"67","OK","Ardmore","AA",2
"71","OK","Bixby","C",2
"73","OK","Broken Arrow","C",2
"88","OK","Guthrie","AA",2
"95","OK","Lawton","C",2
"99","OK","Miami","C",2
"106","OK","Nichols Hills","C",2
"120","OK","Stillwater","C",2
"128","OK","Woodward","C",2
"141","TX","Amarillo","C",2
"148","TX","Austin","C",2
"165","TX","Dallas","C",2
"166","TX","Denton","AA",2
"174","TX","Flower Mound","AA",2
"181","TX","Gilmer","C",2
"187","TX","Houston","MIX",2
"191","TX","Katy","AA",2
"192","TX","Keller","AA",2
"201","TX","McKinney","AA",2
"202","TX","McKinney","C",2
"203","TX","Mesquite","AA",2
"205","TX","Midland","C",2
"206","TX","Missouri City","AA",2
"207","TX","Nacogdoches","AA",2
"221","TX","San Antonio","AA",2
"225","TX","Sherman","AA",2
"235","TX","The Woodlands","C",2
"238","TX","Waco","AA",2
"240","TX","Wichita Falls","AA",2
"1","AK","Anchorage","PI",1
"2","AL","Oxford","C",1
"3","AR","Alma","AA",1
"4","AR","Bearden","AA",1
"5","AR","El Dorado","AA",1
"6","AR","North Little Rock","AA",1
"7","AR","White Hall","AA",1
"8","AZ","Gilbert","AA",1
"9","CA","Anaheim","AA",1
"10","CA","Arroyo Grande","AA",1
"11","CA","Encinitas","C",1
"12","CA","Inglewood","PI",1
"14","CA","Santa Ana","C",1
"15","CO","Littleton","C",1
"16","FL","Alachua","AA",1
"18","FL","Citra","AA",1
"19","FL","Coral Springs","AA",1
"20","FL","Melbourne","AA",1
"21","GA","Albany","AA",1
"22","GA","Buford","AA",1
"24","GA","Dallas","C",1
"25","GA","Decatur","AA",1
"26","GA","Flowery Branch","AA",1
"27","GA","Hephzibah","AA",1
"28","GA","Kathleen","AA",1
"29","GA","Kennesaw","AA",1
"30","GA","Lawrenceville","AA",1
"31","GA","Marietta","C",1
"32","GA","Newnan","AA",1
"33","GA","Rome","AA",1
"34","GA","Rossville","AA",1
"35","IL","Rochester","C",1
"36","IN","Fort Wayne","AA",1
"37","KS","Conway Springs","C",1
"38","KS","Derby","AA",1
"39","KS","Derby","C",1
"40","KS","Fredonia","C",1
"41","KS","Girard","MIX",1
"42","KS","Kansas City","AA",1
"43","KS","Leawood","C",1
"44","KS","Olathe","C",1
"45","KS","Sedan","C",1
"47","KS","Wichita","C",1
"48","KY","Lexington","C",1
"49","LA","Baton Rouge","AA",1
"50","LA","New Orleans","AA",1
"51","LA","Saint Martinville","AA",1
"52","MI","Detroit","AA",1
"53","MI","Grand Ledge","C",1
"54","MO","Joplin","C",1
"55","MO","St. Louis","AA",1
"56","MO","Webb City","C",1
"58","MS","Hattiesburg","C",1
"59","MS","Magee","AA",1
"60","MS","Poplarville","AA",1
"61","MS","Southaven","C",1
"62","NC","Archdale","C",1
"63","NC","Waxhaw","C",1
"64","NJ","Blairstown","C",1
"65","NJ","Piscataway","AA",1
"66","NY","Elma","C",1
"68","OK","Bartlesville","C",1
"69","OK","Beggs","AA",1
"70","OK","Bixby","AA",1
"72","OK","Broken Arrow","AI",1
"74","OK","Cashion","C",1
"75","OK","Chickasha","C",1
"76","OK","Choctaw","AA",1
"77","OK","Choctaw","C",1
"79","OK","Crescent","C",1
"82","OK","Enid","AA",1
"84","OK","Fairview","C",1
"85","OK","Garber","C",1
"86","OK","Glenpool","AA",1
"87","OK","Glenpool","C",1
"89","OK","Haskell","AA",1
"90","OK","Helena","C",1
"91","OK","Jenks","AA",1
"93","OK","Jet","C",1
"94","OK","Kingfisher","C",1
"96","OK","Madill","C",1
"97","OK","McAlester","C",1
"98","OK","McLoud","C",1
"100","OK","Midwest City","AA",1
"101","OK","Midwest City","C",1
"102","OK","Moore","C",1
"103","OK","Muskogee","AA",1
"107","OK","Okeene","C",1
"110","OK","Okmulgee","MIX",1
"111","OK","Owasso","AA",1
"112","OK","Park Hill","C",1
"113","OK","Pawhuska","C",1
"114","OK","Ponca City","C",1
"115","OK","Purcell","AA",1
"116","OK","Ringwood","C",1
"117","OK","Sand Springs","C",1
"118","OK","Skiatook","C",1
"119","OK","Stillwater","AA",1
"121","OK","Sulphur","C",1
"126","OK","Vinita","C",1
"127","OK","Wagoner","AA",1
"129","SC","Anderson","AA",1
"130","SC","Batesburg-Leesville","AA",1
"131","SC","Hanahan","AA",1
"132","SC","Spartanburg","AA",1
"133","TN","Chattanooga","AA",1
"134","TN","Memphis","AA",1
"135","TX","Abilene","AA",1
"136","TX","Aldine","AA",1
"137","TX","Aledo","C",1
"138","TX","Alice","C",1
"139","TX","Allen","C",1
"140","TX","Amarillo","AA",1
"142","TX","Amarillo","MIX",1
"143","TX","Angleton","AA",1
"145","TX","Arlington","C",1
"146","TX","Arp","AA",1
"147","TX","Atlanta","AA",1
"149","TX","Beaumont","AA",1
"150","TX","Bellaire","AA",1
"151","TX","Bryan","AA",1
"152","TX","Bullard","C",1
"153","TX","Canadian","C",1
"154","TX","Carrollton","AA",1
"155","TX","Castroville","C",1
"156","TX","Cedar Hill","AA",1
"158","TX","Cibolo","AA",1
"159","TX","Clute","AA",1
"160","TX","Coppell","C",1
"161","TX","Corinth","C",1
"162","TX","Crawford","C",1
"163","TX","Crowley","AA",1
"170","TX","El Paso","AA",1
"171","TX","Euless","AA",1
"172","TX","Flatonia","AA",1
"173","TX","Floresville","H",1
"175","TX","Fort Worth","AA",1
"176","TX","Gainesville","AA",1
"177","TX","Galena Park","AA",1
"178","TX","Galveston","AA",1
"180","TX","Garland","C",1
"182","TX","Grand Prairie","AA",1
"183","TX","Grapevine","C",1
"184","TX","Henderson","AA",1
"186","TX","Houston","C",1
"188","TX","Huntsville","AA",1
"189","TX","Irving","AA",1
"190","TX","Irving","C",1
"193","TX","Killeen","AA",1
"194","TX","LaMarque","AA",1
"195","TX","Lancaster","AA",1
"196","TX","Lewisville","AA",1
"197","TX","Lufkin","AA",1
"198","TX","Mansfield","C",1
"199","TX","Marlin","AA",1
"200","TX","Mart","AA",1
"204","TX","Mesquite","C",1
"208","TX","Navasota","AA",1
"209","TX","North Richland Hills","AA",1
"210","TX","North Richland Hills","H",1
"211","TX","Paris","AA",1
"212","TX","Pearland","AA",1
"213","TX","Perryton","C",1
"214","TX","Pflugerville","AA",1
"215","TX","Plano","AA",1
"218","TX","Richardson","AA",1
"219","TX","Rosebud","AA",1
"220","TX","Rowlett","AA",1
"222","TX","San Antonio","C",1
"223","TX","Sanger","C",1
"224","TX","Seguin","AA",1
"226","TX","Silsbee","AA",1
"227","TX","Southlake","C",1
"228","TX","Spring","AA",1
"229","TX","Spring Branch","C",1
"230","TX","Sugar Land","AA",1
"232","TX","Texarkana","AA",1
"233","TX","Texarkana","C",1
"234","TX","Texas City","AA",1
"236","TX","Tomball","C",1
"239","TX","Waller","AA",1
"241","UT","Salt Lake City","C",1
"242","VA","Chatham","AA",1
"243","VA","Gretna","AA",1
"244","WI","Brookfield","C",1
