"","country_code","country","dbpedia_url","image_url","rgb_color"
"4570","ARM","Armenia","live.dbpedia.org/page/Armenia","http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/200px-Flag_of_Armenia.svg.png","rgb(239, 154, 0)"
"5553","AZE","Azerbaijan","live.dbpedia.org/page/Azerbaijan","http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/200px-Flag_of_Azerbaijan.svg.png","rgb(0, 133, 84)"
"4572","BLR","Belarus","live.dbpedia.org/page/Belarus","http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/200px-Flag_of_Belarus.svg.png","rgb(58, 154, 66)"
"170","EST","Estonia","live.dbpedia.org/page/Estonia","http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/200px-Flag_of_Estonia.svg.png","rgb(55, 122, 11)"
"4827","GEO","Georgia","live.dbpedia.org/page/Georgia_(country)","http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/200px-Flag_of_Georgia.svg.png","rgb(226,0,28)"
"4605","KAZ","Kazakhstan","live.dbpedia.org/page/Kazakhstan","http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/200px-Flag_of_Kazakhstan.svg.png","rgb(0,159,191)"
"4799","KGZ","Kyrgyzstan","live.dbpedia.org/page/Kyrgyzstan","http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Kyrgyzstan.svg/200px-Flag_of_Kyrgyzstan.svg.png","rgb(245,154,0)"
"200","LAT","Latvia","live.dbpedia.org/page/Latvia","http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/200px-Flag_of_Latvia.svg.png","rgb(130,40,42)"
"187","LTU","Lithuania","live.dbpedia.org/page/Lithuania","http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/200px-Flag_of_Lithuania.svg.png","rgb(3,90,51)"
"4760","MDA","Moldova","live.dbpedia.org/page/Moldova","http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Moldova.svg/200px-Flag_of_Moldova.svg.png","rgb(255,204,0)"
"1","RUS","Russia","live.dbpedia.org/page/Russia","http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/200px-Flag_of_Russia.svg.png","rgb(0,31,152)"
"4839","TJK","Tajikistan","live.dbpedia.org/page/Tajikistan","http://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Tajikistan.svg/200px-Flag_of_Tajikistan.svg.png","rgb(4,87,0)"
"4832","TKM","Turkmenistan","live.dbpedia.org/page/Turkmenistan","http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Turkmenistan.svg/200px-Flag_of_Turkmenistan.svg.png","rgb(31,163,81)"
"4762","UKR","Ukraine","live.dbpedia.org/page/Ukraine","http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/200px-Flag_of_Ukraine.svg.png","rgb(255,208,0)"
"428","URS","USSR","live.dbpedia.org/page/USSR","http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Russian_SFSR_%281918-1937%29.svg/200px-Flag_of_Russian_SFSR_%281918-1937%29.svg.png","rgb(193,0,0)"
"4640","UZB","Uzbekistan","live.dbpedia.org/page/Uzbekistan","http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Uzbekistan.svg/200px-Flag_of_Uzbekistan.svg.png","rgb(0,135,168)"
